WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,year,month,day,team_analyzed,local_team,visitor_team
-1.0,1.229259736987736,1.59432834235591,-0.1602677735995212,-0.21756595968005885,-0.123015763375936,-0.16176643633535237,-0.03730569549118429,0.12495605052797595,1.0693337218901546,-0.6050800839919016,-1.4067795349902303,-1.4229777104620716,-0.3175404428881637,-0.5315974538127161,-0.7320168407319081,-0.9036676835994581,-0.47679525811374834,0.9045188415192522,0.8537080119972275,0.37365134123379795,-0.1605900484715794,-0.6959732284228738,0.8442825120987976,-0.4204498018719913,-1.1450202845891233,-1.6758896765626523,-1.6824912324661472,0.06409179882889608
-1.0,1.229259736987736,1.519580141833459,-0.1285339221976952,-0.21756595968005885,0.06723334939828335,1.0750555425705215,-0.6444962329195837,0.3785753991563107,0.21317966172728425,0.3118519167918542,0.35141142647732926,0.0351042959409143,0.8243752292122604,0.2285433315776799,-0.3634732971080081,-0.15935782805684456,0.46417349326295126,-0.38820670402531327,-0.7719365528046974,-0.6279194103764749,0.07885383149309573,0.3319581192570384,0.8442825120987976,-0.4204498018719913,-1.4662631096881464,-1.6758896765626523,-1.1050100309084416,-1.6693677834503156
-1.0,1.229259736987736,1.4448319413110078,-0.09680007079586887,-0.21756595968005885,-0.123015763375936,0.38793222095614716,-0.4052999605993051,-1.6503793898703676,-0.7856667417960645,-1.745049598479814,1.230506907211109,0.9099534997827058,0.7542576002236377,0.2285433315776799,0.00507024651589197,0.13836611416020086,-0.10040775756306851,1.2277002279053935,1.2601191531977087,1.3752220928440708,0.797185471387121,-0.06340009138908168,0.8442825120987976,-0.4204498018719913,-1.573344051387821,-1.6758896765626523,-1.6824912324661472,0.6419116595886333
1.0,1.229259736987736,1.3700837407885567,-0.06506621939404256,-0.21756595968005885,1.5892262515920381,0.662781549601897,1.1770753793656135,0.8858140964129803,1.4974107519715898,-0.07226824569863842,1.933783291798133,1.9306109042647959,0.1832997641734263,0.9886841169680759,-0.3634732971080081,0.28722808526872357,1.7815297451903307,0.5813374551331109,-1.1783476940051787,-1.3790974740841795,2.473292631139847,2.466892456746087,0.8442825120987976,-0.6390385902390571,1.532003257902736,-1.6758896765626523,-0.29653634872765405,-1.6693677834503156
-1.0,1.1543139125471322,1.3700837407885567,-0.10208904602950658,-0.21756595968005885,0.2574824621725027,-0.8488897579497268,0.9194793937899289,1.139433445041315,0.49856434844824105,0.9809644579043244,-1.5825986311369864,-1.56878591110237,-0.5479269381364951,-1.291738239203112,-0.5477450689199581,-1.2013916258165036,0.08778599271227143,0.5813374551331109,-1.1783476940051787,0.37365134123379795,-1.8366972082243052,-0.1424717335183057,0.8442825120987976,-0.6390385902390571,1.210760432803713,-1.6758896765626523,-0.41203258903919515,-1.6693677834503156
-1.0,1.1543139125471322,1.2953355402661055,-0.06506621939404256,-0.21756595968005885,0.2574824621725027,1.8996035285077708,-0.9388916450060804,0.3785753991563107,1.640103095332068,-0.667034948909723,-0.7035031504032065,-0.9855531085411757,0.8544256416359558,1.7488249023584719,-1.6533756997916582,-0.3082197991653673,1.028754744088971,-0.0650253176391719,-1.5847588352056599,0.12325865333122973,1.7549609912458215,0.015671550740142343,0.8442825120987976,-0.6390385902390571,0.9965985494043641,-1.6758896765626523,-0.7585213099738184,-1.6693677834503156
1.0,1.1543139125471322,1.2205873397436542,-0.028043392758578516,-0.21756595968005885,1.2087280260435995,-0.29919110065822724,1.5450696444737344,0.8858140964129803,-0.07220502499367254,1.22878391757561,0.35141142647732926,0.0351042959409143,0.8243752292122604,-0.27821719201591744,-0.7320168407319081,-0.7548057124909354,1.5933359949149908,0.9045188415192522,-0.3655254116042162,0.6240440291363661,1.7549609912458215,1.4389611090661747,0.8442825120987976,-0.6390385902390571,0.7824366660050154,-1.6758896765626523,-1.6824912324661472,0.41078371528473845
1.0,1.0793680881065286,1.2205873397436542,-0.06506621939404256,-0.21756595968005885,1.3989771388178187,-0.43661576498110216,1.876264483071041,0.3785753991563107,-0.21489736835415094,0.7083630522659103,-1.0551413426967184,-0.54812850662028,-1.7098762185193828,-0.27821719201591744,0.557885561951742,0.28722808526872357,1.9697234954656708,-1.034569476797596,-0.7719365528046974,0.12325865333122973,1.0366293513517961,0.8063879720323824,0.8442825120987976,-0.6390385902390571,0.675355724305341,-1.6758896765626523,-1.6824912324661472,-0.8604199783866835
1.0,1.0044222636659248,1.2205873397436542,-0.1073780212631443,-0.21756595968005885,1.5892262515920381,0.525356885279022,1.2874736588980498,2.153910839554654,1.0693337218901546,1.6005131070825376,-0.8793222465499625,-0.9855531085411757,0.1832997641734263,-0.024836930219118758,0.373613790139792,0.28722808526872357,0.08778599271227143,1.2277002279053935,1.2601191531977087,-0.8783120982790431,-0.4000339284362545,1.5971043933246227,0.8442825120987976,-0.6390385902390571,0.24703195750664347,-1.6758896765626523,1.6668997365685445,-1.6693677834503156
-1.0,0.9294764392253211,1.2205873397436542,-0.14440084789860835,-0.21756595968005885,0.06723334939828335,0.11308289231039739,-0.01890598223577825,-0.6359019953570284,-0.07220502499367254,-0.7785537057618015,0.35141142647732926,0.3267206972215115,0.10316533104357191,-0.27821719201591744,-0.9162886125438581,-0.9036676835994581,0.08778599271227143,1.2277002279053935,2.4793525767991524,0.12325865333122973,-0.4000339284362545,0.015671550740142343,0.8442825120987976,-0.6390385902390571,0.032870074107294735,-1.6758896765626523,-0.06554386810457187,-1.6693677834503156
